name,country,currentFormPoints
Sean O'Sullivan,"England",1361.1039055910728
Zhang Jiankang,"China",1327.715191535409
Lu Ning,"China",1491.638514269677
Liam Davies,Wales,1273.3020614028242
Ryan Thomerson,"Australia",1063.841279579148
Julien Leclercq,"Belgium",1431.581612545851
Oliver Brown,"England",1105.4157269974962
David Gilbert,"England",1824.2946714973555
Stan Moody,England,1341.1614840909422
Mark Allen,"Northern Ireland",2329.3201880668685
Hossein Vafaei,"Iran",1799.4122514305081
Yisong Peng,"China",991.6212294071269
Neil Robertson,"Australia",1975.3259300821956
Ng On Yee,"Hong Kong",1092.1143588551738
Andy Lee,"England",1170.740547021723
Thepchaiya Un-Nooh,"Thailand",1906.7874488057655
Kyren Wilson,"England",2103.6061286322997
Elliot Slessor,"England",1940.4530955561258
Reanne Evans,"England",907.0625826936708
Jordan Brown,"Northern Ireland",1675.6937029523822
Liang Wenbo,"China",1492.499959017671
Stuart Bingham,"England",1762.4347778503736
Haydon Pinhey,England,1412.0291315371728
Billy Joe Castle,England,1397.4042963382794
Jimmy White,"England",1394.2406007061745
James Cahill,"England",1526.5748240764183
Andres Petrov,"Estonia",1297.0887540106542
Anthony McGill,"Scotland",2133.80295445383
Jamie Jones,"Wales",1689.5621707125572
Zhou Yuelong,"China",1787.0858408992028
Martin Gould,"England",1502.534003802129
Vladislav Gradinari,Moldova,1484.5970668287
John Higgins,"Scotland",2333.2618277559773
Chen Zifan,"China",1167.2987115500478
Michael Georgiou,Cyprus,1509.4253123019535
Himanshu Jain,"India",861.5435586771017
Peifan Lei,"China",1380.0488631369446
Mink Nutcharut,"Thailand",944.6260925012878
Andrew Pagett,"Wales",1425.3158570400242
Jake Crofts,England,1406.1276332738205
Mark Joyce,"England",1448.8387391828112
Ali Carter,"England",1949.2409287815608
Callum Beresford,England,1325.4275944923404
Noppon Saengkham,"Thailand",1918.961833434079
Si Jiahui,"China",2423.233058591443
Filips Kalniņš,Latvia,1181.5905737682256
Xiao Guodong,"China",1805.631702445071
Xu Si,"China",1719.7039763315652
Liam Highfield,"England",1546.1539653576353
Joe O'Connor,"England",1887.9122511625574
Chang Bingyu,"China",1329.017234428862
Barry Hawkins,"England",1798.8395662403282
Matthew Selt,"England",1977.0037961111173
Li Hang,"China",1602.4159585321534
Barry Pinches,"England",1431.7058795385528
Lee Walker,Wales,1456.1832188276646
Anthony Hamilton,"England",1537.7654639971004
Anton Kazakov,"Ukraine",1074.3060268789495
Dylan Emery,"Wales",1414.8862104428877
Oliver Briffett-Payne,Wales,1441.889311854498
Peter Lines,"England",1488.2963686987803
Ben Mertens,"Belgium",1518.9893069817686
Ding Junhui,"China",1998.9783099018239
Gao Yang,China,1432.8304672141853
Craig Steadman,"England",1320.3130152208053
Ross Bulman,Ireland,1378.7773353378877
Gerard Greene,"Northern Ireland",1372.3839806432482
Scott Donaldson,"Scotland",1511.304025140174
Alfie Burden,"England",1444.331531812859
Ricky Walden,"England",1923.5426715155504
Ronnie O'Sullivan,"England",2147.3647221308515
Mark Davis,"England",1762.5542676896825
George Pragnell (II),England,1405.9578957432473
Sanderson Lam,"England",1533.1036534956213
Marco Fu,"Hong Kong",1359.448238957824
Lyu Haotian,"China",1921.2573248268761
Andrew Higginson,England,1654.2866548795384
Chris Wakelin,"England",1752.6958337792414
Liam Pullen,England,1424.4031790470294
Duane Jones,"Wales",1269.0103982409478
Ryan Davies,England,1380.1153348615803
Graeme Dott,"Scotland",1715.429877239353
Dean Young,"Scotland",1214.8680852938378
Tom Ford,"England",1714.9225975749373
Judd Trump,"England",2069.317279261707
Asjad Iqbal,"Pakistan",1202.530338457898
Stephen Hendry,"Scotland",943.465900330683
Ian Martin,England,1190.735358987181
Tian Pengfei,"China",1545.111701513198
Alexander Ursenbacher,"Switzerland",1414.3737625694866
Sam Craigie,"England",1710.0376716809249
Bulcsú Révész,Hungary,1300.7819001911057
Michael Holt,England,1559.4047182269244
Daniel Wells,Wales,1620.026113757468
Ken Doherty,"Ireland",1468.1768710100469
Pang Junxu,"China",2040.1173245301297
Liam Graham,Scotland,1350.0553071350266
Brad Ferguson,Wales,1313.2509888258953
Ryan Day,"Wales",1927.4344676417861
Fan Zhengyi,"China",1744.3879518833166
Florian Nüßle,Austria,1551.1479539503166
Stuart Carrington,"England",1331.5998865776214
Martin O'Donnell,England,1580.905879426491
Lee Stephens,England,1337.5763931577048
Ross Muir,Scotland,1309.3752176451712
John Astley,"England",1727.2090130303725
Siripaporn Nuanthakhamjan,Thailand,1276.2839965159906
Mark Williams,"Wales",2039.563663190114
Mohamed Ibrahim,"Egypt",1025.62653778233
Luca Brecel,"Belgium",2684.481675314833
Jimmy Robertson,"England",1779.9259701475087
Rebecca Kenna,"England",807.1332959064877
Fergal O'Brien,"Ireland",1211.9477026136096
Gary Wilson,"England",2105.2789580830613
David Lilley,"England",1549.6089521306196
Michael White,"Wales",1504.8201607461442
Riley Powell,Wales,1503.8369047488443
Yuan Sijun,"China",1674.698575490574
Fraser Patrick,"Scotland",1368.7307897268424
Yan Bingtao,"China",2089.093535676919
Lukas Kleckers,"Germany",1504.0874902394337
Jamie O'Neill,"England",1332.3702220417995
Dechawat Poomjaeng,"Thailand",1341.0412275475992
Oliver Lines,"England",1694.6915415038009
Dominic Dale,"Wales",1515.097422621805
Jianbo Zhao,China,1646.0441362936717
Jamie Clarke,"Wales",1455.575948299084
Michael Judge,"Ireland",1131.9524159391015
Ashley Hugill,"England",1602.8002076796513
Jack Lisowski,"England",2007.1108618902274
Ian Burns,"England",1485.8804373060411
Louis Heathcote,"England",1507.2324177641046
Peter Devlin,England,1504.317849750248
