name,country,currentFormPoints
Sean O'Sullivan,England,1314.1668577747564
Zhang Jiankang,China,1333.9570793393793
Lu Ning,China,1421.4220000838352
Liam Davies,Wales,1270.831914492626
Ryan Thomerson,Australia,1150.3115758849967
Julien Leclercq,Belgium,1519.84051008236
Oliver Brown,England,1158.5718622482768
David Gilbert,England,1750.3791765112674
Stan Moody,England,1337.673032583527
Mark Allen,Northern Ireland,2116.9765902050876
Yisong Peng,China,1133.3252428695912
Hossein Vafaei,Iran,1761.6493366626132
Ng On Yee,Hong Kong,1162.6678079389433
Neil Robertson,Australia,1857.0495308332727
Andy Lee,England,1188.1814901152109
Thepchaiya Un-Nooh,Thailand,1752.9091981730521
Kyren Wilson,England,2079.044018804217
Elliot Slessor,England,1799.8901799548921
Reanne Evans,England,1041.9978584080973
Jordan Brown,Northern Ireland,1543.7276863829816
Liang Wenbo,China,1503.980023866871
Haydon Pinhey,England,1376.0555892216237
Stuart Bingham,England,1764.0908098506502
Billy Joe Castle,England,1326.5411566561056
Jimmy White,England,1459.2867078412003
Andres Petrov,Estonia,1258.8221837425863
James Cahill,England,1464.0580637169248
Anthony McGill,Scotland,1891.8035272873724
Jamie Jones,Wales,1538.1625149236595
Zhou Yuelong,China,1615.1928918888218
Martin Gould,England,1493.5009508767853
Vladislav Gradinari,Moldova,1490.4238144701826
John Higgins,Scotland,2226.986976032939
Chen Zifan,China,1291.1956489887393
Michael Georgiou,Cyprus,1443.8764171969983
Himanshu Jain,India,1053.0755672595135
Mink Nutcharut,Thailand,1170.0087393576437
Peifan Lei,China,1394.327114625849
Andrew Pagett,Wales,1364.1979410428496
Jake Crofts,England,1427.3894373510216
Mark Joyce,England,1467.3529559025444
Ali Carter,England,1821.637192215224
Callum Beresford,England,1386.18967595985
Noppon Saengkham,Thailand,1721.8319561966857
Si Jiahui,China,2177.489371063206
Filips Kalniņš,Latvia,1292.028102610694
Xiao Guodong,China,1641.26208177624
Xu Si,China,1608.9838072942764
Liam Highfield,England,1458.2600744219778
Joe O'Connor,England,1745.9972043921337
Chang Bingyu,China,1457.39112025135
Barry Hawkins,England,1669.8296718659635
Li Hang,China,1622.7286792691557
Matthew Selt,England,1759.467656728598
Barry Pinches,England,1408.4359127186108
Lee Walker,Wales,1443.5997394873395
Anthony Hamilton,England,1425.8514865374898
Anton Kazakov,Ukraine,1204.5171164024607
Dylan Emery,Wales,1353.696470481201
Oliver Briffett-Payne,Wales,1442.0498622261866
Peter Lines,England,1373.5310017464683
Ben Mertens,Belgium,1508.759239299171
Ding Junhui,China,1862.5604667600733
Gao Yang,China,1348.601312954208
Craig Steadman,England,1284.8886676203294
Ross Bulman,Ireland,1355.059257857496
