name,country,currentFormPoints,currentFormPointsAfter2025-2026
Sean O'Sullivan,England,1314.1668577747564,1203.8602096361847
Zhang Jiankang,China,1333.9570793393793,1333.9570793393793
Lu Ning,China,1421.4220000838352,1421.4220000838352
Liam Davies,Wales,1270.831914492626,1537.9189950058249
Ryan Thomerson,Australia,1150.3115758849967,1125.3428878253505
Julien Leclercq,Belgium,1519.84051008236,1837.2744344655298
Oliver Brown,England,1158.5718622482768,1153.6760540541927
David Gilbert,England,1750.3791765112674,1847.1406331507412
Stan Moody,England,1337.673032583527,1924.6564586443733
Mark Allen,Northern Ireland,2116.9765902050876,2220.3543881394066
Yisong Peng,China,1133.3252428695912,1472.5374929600944
Hossein Vafaei,Iran,1761.6493366626132,1686.5347713947601
Ng On Yee,Hong Kong,1162.6678079389433,1151.464813320434
Neil Robertson,Australia,1857.0495308332727,2075.613066106403
Andy Lee,England,1188.1814901152109,1129.4844260847942
Thepchaiya Un-Nooh,Thailand,1752.9091981730521,1824.5049556253655
Kyren Wilson,England,2079.044018804217,2228.361788678453
Elliot Slessor,England,1799.8901799548921,2084.9959128433597
Reanne Evans,England,1041.9978584080973,1020.2152623793293
Jordan Brown,Northern Ireland,1543.7276863829816,1483.7719437198498
Liang Wenbo,China,1503.980023866871,1503.980023866871
Haydon Pinhey,England,1376.0555892216237,1471.392848275659
Stuart Bingham,England,1764.0908098506502,1903.7063462892065
Billy Joe Castle,England,1326.5411566561056,1326.5411566561056
Jimmy White,England,1459.2867078412003,1237.4691382844042
Andres Petrov,Estonia,1258.8221837425863,1207.2054514476959
James Cahill,England,1464.0580637169248,1279.3977291520694
Anthony McGill,Scotland,1891.8035272873724,1846.2368701039004
Jamie Jones,Wales,1538.1625149236595,1492.389308577276
Zhou Yuelong,China,1615.1928918888218,2179.110499351137
Martin Gould,England,1493.5009508767853,1503.0486479718354
Vladislav Gradinari,Moldova,1490.4238144701826,1297.5161576312155
John Higgins,Scotland,2226.986976032939,2256.508765091676
Chen Zifan,China,1291.1956489887393,1291.1956489887393
Michael Georgiou,Cyprus,1443.8764171969983,1443.8764171969983
Himanshu Jain,India,1053.0755672595135,1059.048945269746
Mink Nutcharut,Thailand,1170.0087393576437,877.7510188121732
Peifan Lei,China,1394.327114625849,1852.541092603612
Andrew Pagett,Wales,1364.1979410428496,1148.5802150652576
