Name,Country,Rank
"1","England",Ronnie O'Sullivan
"2","Belgium",Luca Brecel
"3","Northern Ireland",Mark Allen
"4","England",Judd Trump
"5","England",Mark Selby
"6","Australia",Neil Robertson
"7","England",Shaun Murphy
"8","England",Kyren Wilson
"9","Scotland",John Higgins
"10","Wales",Mark Williams
"11","China",Zhao Xintong
"12","England",Ali Carter
"13","England",Robert Milkins
"14","England",Jack Lisowski
"15","England",Gary Wilson
"16","Wales",Ryan Day
"17","China",Ding Junhui
"18","Iran",Hossein Vafaei
"19","Scotland",Anthony McGill
"20","England",Barry Hawkins
"21","England",David Gilbert
"22","England",Ricky Walden
"23","China",Yan Bingtao
"24","England",Tom Ford
"25","England",Stuart Bingham
"26","England",Jimmy Robertson
"27","China",Zhou Yuelong
"28","England",Joe Perry
"29","Thailand",Noppon Saengkham
"30","England",Matthew Selt
"31","England",Chris Wakelin
"32","Scotland",Stephen Maguire
"33","England",Joe O'Connor
"34","China",Fan Zhengyi
"35","China",Pang Junxu
"36","China",Si Jiahui
"37","Wales",Jak Jones
"38","Northern Ireland",Jordan Brown
"39","England",Anthony Hamilton
"40","Thailand",Thepchaiya Un-Nooh
"41","Scotland",Graeme Dott
"42","China",Cao Yupeng
"43","China",Xiao Guodong
"44","Wales",Matthew Stevens
"45","Wales",Jamie Jones
"46","England",Ben Woollaston
"47","China",Lyu Haotian
"48","Wales",Jackson Page
"49","England",Elliot Slessor
"50","England",Robbie Williams
"51","China",Wu Yize
"52","China",Yuan Sijun
"53","England",Sam Craigie
"54","Scotland",Scott Donaldson
"55","China",Tian Pengfei
"56","England",David Grace
"57","England",Liam Highfield
"58","Wales",Jamie Clarke
"59","England",Andy Hicks
"60","China",Zhang Anda
"61","England",Oliver Lines
"62","England",Martin Gould
"63","Wales",Dominic Dale
"64","England",Mark King
"65","China",Lu Ning
"66","China",Xu Si
"67","England",Mark Joyce
"68","England",Mark Davis
"69","England",Hammad Miah
"70","England",Stuart Carrington
"71","China",Li Hang
"72","China",Liang Wenbo
"73","England",Peter Lines
"74","England",Ian Burns
"75","England",Jimmy White
"76","England",Mitchell Mann
"77","England",Louis Heathcote
"78","Wales",Michael White
"79","England",Ashley Hugill
"80","Belgium",Julien Leclercq
"81","China",Peifan Lei
"82","England",David Lilley
"83","England",John Astley
"84","England",Barry Pinches
"85","Wales",Duane Jones
"86","Wales",Andrew Pagett
"87","Switzerland",Alexander Ursenbacher
"88","China",Chang Bingyu
"89","Scotland",Fraser Patrick
"90","England",Craig Steadman
"91","England",James Cahill
"92","Northern Ireland",Gerard Greene
"93","China",Zhang Jiankang
"94","Belgium",Ben Mertens
"95","Ireland",Aaron Hill
"96","Wales",Dylan Emery
"97","England",Sanderson Lam
"98","England",Alfie Burden
"99","Ireland",Ken Doherty
"100","Germany",Lukas Kleckers
"101","England",Zak Surety
"102","Ireland",Michael Judge
"103","Scotland",Dean Young
"104","China",Chen Zifan
"105","England",Andy Lee
"106","England",Sean O'Sullivan
"107","England",Jamie O'Neill
"108","England",Allan Taylor
"109","Hong Kong",Marco Fu
"110","Pakistan",Mohammed Asif
"111","Pakistan",Asjad Iqbal
"112","Estonia",Andres Petrov
"113","England",Rod Lawler
"114","Thailand",Dechawat Poomjaeng
"115","China",Yisong Peng
"116","England",Adam Duffy
"117","Hong Kong",Ng On Yee
"118","Australia",Ryan Thomerson
"119","Egypt",Mohamed Ibrahim
"120","England",Oliver Brown
"121","Ukraine",Anton Kazakov
"122","India",Himanshu Jain
"123","Ireland",Fergal O'Brien
"124","Thailand",Mink Nutcharut
"125","England",Jenson Kendrick
"126","England",Reanne Evans
"126","Brazil",Victor Sarkis
"128","England",Rebecca Kenna
"129","Scotland",Stephen Hendry
"130","China",Bai Langning
