Player Name,Matches,Wins,Win Rate
Judd Trump,34,22,64.71%
Zhao Xintong,31,20,64.52%
Mark Selby,28,17,60.71%
Ali Carter,15,9,60.00%
Shaun Murphy,32,19,59.38%
Neil Robertson,24,14,58.33%
Barry Hawkins,26,15,57.69%
Chris Wakelin,16,9,56.25%
John Higgins,32,18,56.25%
Mark Allen,25,14,56.00%
Kyren Wilson,27,15,55.56%
Jack Lisowski,20,11,55.00%
Wu Yize,22,12,54.55%
Zhou Yuelong,19,10,52.63%
Xiao Guodong,20,10,50.00%
Ronnie O'sullivan,16,8,50.00%
Elliot Slessor,14,7,50.00%
Zhang Anda,24,12,50.00%
Chang Bingyu,16,8,50.00%
Mark Williams,23,11,47.83%
Aaron Hill,12,5,41.67%
Gary Wilson,17,7,41.18%
Si Jiahui,18,7,38.89%
Jak Jones,12,4,33.33%
Pang Junxu,13,4,30.77%
Anthony Mcgill,13,4,30.77%
Stuart Bingham,10,3,30.00%
Stephen Maguire,14,4,28.57%
Thepchaiya Un-nooh,11,3,27.27%
Joe O'connor,9,2,22.22%
Ding Junhui,11,2,18.18%
Yuan Sijun,10,1,10.00%
